AQW00061705         252C
CAW00064757          23Q
CQC00914080           0P
CQC00914801          30R
FMC00914395         548P
FMC00914419         525P
FMC00914446         310P
FMC00914482         217R
FMC00914720        1557R
FMC00914761        1810P
FMC00914831          60P
FMC00914892         458P
FMC00914898         574P
FMC00914911         784P
FMW00040308         276S
FMW00040504         778C
FMW00040505          48S
GQC00914025          26P
GQW00041415         104S
JQW00021603         305P
PSC00914519         331P
PSC00914712           2P
PSW00040309         167S
RMW00040604          11S
RMW00040710          22S
RQC00660061          10S
RQC00660152         650S
RQC00660158           0R
RQC00660410        1282R
RQC00660426         249S
RQC00661901           3R
RQC00662336           0R
RQC00662801         884S
RQC00662934         653R
RQC00663409         370P
RQC00663431         755S
RQC00663657         509R
RQC00664193         549R
RQC00664276         919S
RQC00664702         105S
RQC00665064         654S
RQC00665097        1501R
RQC00665693        1431R
RQC00665807         356R
RQC00665908           9R
RQC00666073        1273R
RQC00666258        1429R
RQC00666992           0R
RQC00667292        1267S
RQC00668126         703Q
RQC00668306         906R
RQC00668881        2667R
RQC00669521         940S
RQC00669608         712R
RQW00011603         545R
RQW00011630         458R
RQW00011641         546C
USC00010063         352Q
USC00010160         528S
USC00010178         772R
USC00010252         754S
USC00010260         357Q
USC00010369         450S
USC00010390         463R
USC00010402         662S
USC00010425         470R
USC00010430         572R
USC00010505         568C
USC00010583         537S
USC00010655         560S
USC00010764         576S
USC00011080         687S
USC00011084         766S
USC00011099         345S
USC00011301         741R
USC00011324         617R
USC00011490         459Q
USC00011566         811R
USC00011620         600S
USC00011694         481R
USC00011725         636R
USC00011803         257R
USC00012096         309R
USC00012172         311S
USC00012209         257Q
USC00012245         605S
USC00012675         739R
USC00012730         864R
USC00012758         650S
USC00012813         711C
USC00012840         538R
USC00012883         665R
USC00013043         425Q
USC00013105         583R
USC00013154         548S
USC00013160         727S
USC00013251         805S
USC00013511         813R
USC00013519         538S
USC00013573         450R
USC00013575         383R
USC00013620         569S
USC00013645         688S
USC00013655         476Q
USC00013761         807S
USC00013775         343S
USC00013781         657Q
USC00013816         475S
USC00014193         672R
USC00014226         527R
USC00014502         513R
USC00014798         675R
USC00015121         585C
USC00015140         497R
USC00015439         628R
USC00015553         656R
USC00015635         425S
USC00015752         304Q
USC00016000         443Q
USC00016121         511R
USC00016129         444R
USC00016196         429Q
USC00016478         476S
USC00016988         573S
USC00017020         368R
USC00017025         475R
USC00017131         448S
USC00017157         628S
USC00017207         266S
USC00017304         515R
USC00017366         743S
USC00017999         458S
USC00018024         524S
USC00018178         664S
USC00018209         504S
USC00018323         560R
USC00018380         803S
USC00018438         541S
USC00018469         326C
USC00018517         654R
USC00018812         293Q
USC00018859         529Q
USC00018867         586R
USC00018998         411S
USC00020060        1376R
USC00020080        1625Q
USC00020100        1715S
USC00020159           3R
USC00020170           1Q
USC00020287        1385S
USC00020288        1612R
USC00020404        1748Q
USC00020586         757R
USC00020632        1590R
USC00020670        1192R
USC00020672        1453R
USC00020678           3R
USC00020683        1101R
USC00020750         120S
USC00020775         283R
USC00020808         246S
USC00020871          40R
USC00020949        1674S
USC00020958        1160S
USC00021001           1R
USC00021026        1771R
USC00021050        1817S
USC00021169         987R
USC00021231         427S
USC00021248         481S
USC00021282        1466R
USC00021306        1819R
USC00021314        1723S
USC00021330        1329S
USC00021353        1452S
USC00021357        1463Q
USC00021514        1569R
USC00021574          25R
USC00021614        1395R
USC00021654         606Q
USC00021664         442R
USC00021849        1223R
USC00021920         586R
USC00022109         907S
USC00022140         444S
USC00022329         260R
USC00022434        1724R
USC00022527         468R
USC00022659        1104R
USC00022754        1240S
USC00022782        1705Q
USC00022790        1707R
USC00022807        1759R
USC00023009          19R
USC00023027        1656R
USC00023110         746Q
USC00023150        1303S
USC00023160          19S
USC00023190        1577S
USC00023250         660Q
USC00023303         269R
USC00023393        1863S
USC00023505        1030R
USC00023596         136S
USC00023668        1419R
USC00023683           1S
USC00023828           6R
USC00023961          63Q
USC00024053        1045R
USC00024089         584S
USC00024453         449S
USC00024586         291R
USC00024645         882R
USC00024675          27R
USC00024686         239R
USC00024702        1547S
USC00024759        1733R
USC00024761        1686R
USC00024829        1721S
USC00024849        1246R
USC00024977        1619R
USC00025129         166R
USC00025270        1806C
USC00025412          14S
USC00025426        1229Q
USC00025512        1243R
USC00025635        1316S
USC00025665         501R
USC00025700        1562R
USC00025780          26R
USC00025825         461Q
USC00025924        1046S
USC00026037         451R
USC00026119         598R
USC00026132        1672S
USC00026180         802S
USC00026190         542Q
USC00026194        1781Q
USC00026242         195Q
USC00026250        1806R
USC00026353         789R
USC00026468         631S
USC00026471        1459S
USC00026513        1677R
USC00026597          43R
USC00026601          71Q
USC00026603        1247Q
USC00026616         671S
USC00026653         412R
USC00026716         187S
USC00026796         321S
USC00026840        1371R
USC00026865        1717R
USC00027281        1441S
USC00027370        1801R
USC00027390        1300S
USC00027435         390S
USC00027480        1380R
USC00027488         465R
USC00027560        1237R
USC00027593         691R
USC00027619         974R
USC00027625        1217R
USC00027708         947R
USC00027716         610S
USC00027855         158S
USC00027880         723R
USC00028012         418C
USC00028018         278R
USC00028112        1528R
USC00028162          87R
USC00028214        1599S
USC00028329          83S
USC00028348        1248R
USC00028396        1790S
USC00028468         630S
USC00028499        1724S
USC00028516        1510R
USC00028619         776S
USC00028641        1696R
USC00028792         770R
USC00028795        1530R
USC00028796        1623R
USC00028800        1509R
USC00028815        1393S
USC00028817        1621S
USC00028865        1075S
USC00028904        1197S
USC00029114         988S
USC00029156          87Q
USC00029158         349S
USC00029271         442R
USC00029287        1424S
USC00029309        1546R
USC00029334        1059S
USC00029359          47S
USC00029376        1718R
USC00029410          61R
USC00029464        1658Q
USC00029542         705S
USC00029634        1702S
USC00029645        1455S
USC00029652        1701R
USC00029656        1847R
USC00030064         478S
USC00030130         398S
USC00030220         648S
USC00030240         508S
USC00030458         370S
USC00030460         691S
USC00030536         630S
USC00030582         612S
USC00030586         385R
USC00030618         450Q
USC00030664         335Q
USC00030764         524R
USC00030798         693C
USC00030806         493S
USC00030832         591S
USC00030936         530R
USC00031102         716S
USC00031132         470S
USC00031140         681R
USC00031152         746S
USC00031191         663R
USC00031442         592R
USC00031455         588R
USC00031457         378Q
USC00031459         558R
USC00031596         587R
USC00031632         489S
USC00031730         675S
USC00031838         693S
USC00031900          61C
USC00031948         637S
USC00031962         845S
USC00031968         635S
USC00032148         627S
USC00032355        1005S
USC00032356         328R
USC00032366         671S
USC00032444         355R
USC00032540         559S
USC00032794         467S
USC00032930         521S
USC00032962         515R
USC00032978         473S
USC00033132         609Q
USC00033242        1004S
USC00033428         707S
USC00033466         650S
USC00033544         278S
USC00033734         523S
USC00033821         600S
USC00033862         492C
USC00033909         257Q
USC00034106         300S
USC00034134         602R
USC00034185         733R
USC00034528         576Q
USC00034548         639S
USC00034562         653S
USC00034572         399S
USC00034638         604S
USC00034666         369R
USC00034711         617Q
USC00034756         381S
USC00034938         609R
USC00034988         436S
USC00035018         535R
USC00035036         414S
USC00035046         557R
USC00035079         513R
USC00035112         750S
USC00035186         483S
USC00035200         612C
USC00035376         534R
USC00035508         589R
USC00035512         552R
USC00035563         438S
USC00035754         656S
USC00035820         399S
USC00035831         474Q
USC00035866         581S
USC00035908         582S
USC00036174         835Q
USC00036253         695S
USC00036376         652R
USC00036403         445Q
USC00036506         672S
USC00036562         660S
USC00036768         638S
USC00036920         696S
USC00036928         572S
USC00037488         596S
USC00037582         581S
USC00037712         537S
USC00038010         582Q
USC00038052         472S
USC00038084         615R
USC00040029         340R
USC00040136         376R
USC00040161         396R
USC00040192         435R
USC00040212         287S
USC00040232         569R
USC00040343        1097S
USC00040379         707S
USC00040383         578S
USC00040436        1616R
USC00040444        1025Q
USC00040449         843S
USC00040521        1215S
USC00040673         364S
USC00040693          53R
USC00040738         809R
USC00040741          11S
USC00040755          18Q
USC00040790          96R
USC00040924        1788R
USC00040931         126S
USC00040943           2S
USC00040983        1667S
USC00041018          58R
USC00041048        1771R
USC00041072          39S
USC00041214         413R
USC00041244        1055S
USC00041253         745S
USC00041277          24S
USC00041312         639R
USC00041316         234C
USC00041428         747S
USC00041476         260R
USC00041484        1057R
USC00041497         138S
USC00041534         145Q
USC00041606         534R
USC00041614         288S
USC00041697         273S
USC00041700         126S
USC00041715         850R
USC00041738        1411Q
USC00041754         221Q
USC00041758          28R
USC00041806         575R
USC00041838         740R
USC00041864        1220S
USC00041912         293S
USC00041948         745R
USC00041967         404R
USC00042012        1124S
USC00042081         717S
USC00042147           1S
USC00042214          48R
USC00042239         151S
USC00042294         787S
USC00042319        1905C
USC00042331         475R
USC00042338         222R
USC00042402         554S
USC00042410        1706Q
USC00042456         703R
USC00042467          66S
USC00042500         458S
USC00042506         297S
USC00042574         496C
USC00042598        1493S
USC00042640         758R
USC00042671           2R
USC00042706         480R
USC00042709        1038R
USC00042713        1744S
USC00042728         947R
USC00042771         986S
USC00042805        1148R
USC00042863         443R
USC00042934         534S
USC00042941         626R
USC00043083        1010R
USC00043113         839R
USC00043157         133S
USC00043161           0R
USC00043191       -7777R
USC00043244          95R
USC00043256        1049R
USC00043261        1175S
USC00043384         554Q
USC00043392         191Q
USC00043417         460S
USC00043463         334S
USC00043489        1751R
USC00043551           2S
USC00043573         293R
USC00043578         292C
USC00043647           7R
USC00043669         392R
USC00043710        1222S
USC00043714           2S
USC00043747         965S
USC00043824         468S
USC00043855        1551S
USC00043875         527S
USC00043882         101Q
USC00043896        1262R
USC00043914         824S
USC00043939         117S
USC00044025         244S
USC00044176           0R
USC00044211         180S
USC00044223        1717S
USC00044232        1087S
USC00044259        1823R
USC00044278        1272R
USC00044297        1708S
USC00044303         544Q
USC00044374          98S
USC00044405        1237Q
USC00044412         187Q
USC00044500         196S
USC00044523        1029R
USC00044534        1100Q
USC00044555         366S
USC00044577       -7777R
USC00044647          45R
USC00044671          39S
USC00044712         959S
USC00044713          58R
USC00044735         272R
USC00044838         185S
USC00044881          26R
USC00044890        1114C
USC00044957        1087R
USC00044997         497S
USC00045026           1S
USC00045032         673S
USC00045064          21S
USC00045118         901S
USC00045120         798R
USC00045123         240S
USC00045233         937R
USC00045280           1R
USC00045311          25S
USC00045360         801S
USC00045378         443C
USC00045385         981R
USC00045449         410R
USC00045502        1902R
USC00045532         951S
USC00045679          76S
USC00045721         530S
USC00045756         923R
USC00045790         562R
USC00045795          12S
USC00045802           2R
USC00045853         319Q
USC00045866          16R
USC00045892         408Q
USC00045915         282S
USC00045933          23S
USC00045968          11Q
USC00046006         147R
USC00046074         246S
USC00046136         264S
USC00046144          79S
USC00046154         839S
USC00046161         847R
USC00046168        1258S
USC00046172         898R
USC00046174         887R
USC00046175           4R
USC00046252         862Q
USC00046263         639R
USC00046336          40R
USC00046370         103Q
USC00046377           4R
USC00046386        1745Q
USC00046399         589R
USC00046498           1R
USC00046506         803S
USC00046508         521R
USC00046521         874R
USC00046569          13R
USC00046572          28R
USC00046599          25R
USC00046610         327R
USC00046624        1111S
USC00046635        1788S
USC00046646         118R
USC00046657          62S
USC00046685         562S
USC00046699        1668S
USC00046719         632S
USC00046730         735S
USC00046773         978R
USC00046826         202S
USC00046926         898S
USC00046943           8R
USC00046960         689R
USC00046962         647R
USC00047050         664R
USC00047077        1174R
USC00047085         150S
USC00047109         735S
USC00047150         839S
USC00047195         403R
USC00047228         613R
USC00047253         907S
USC00047306        1018S
USC00047339         171R
USC00047404         298S
USC00047414          34R
USC00047470        1029R
USC00047473         942S
USC00047641          16R
USC00047643         505S
USC00047668          38R
USC00047689         511R
USC00047723        1107R
USC00047741           0Q
USC00047767       -7777R
USC00047785         334R
USC00047807          11R
USC00047813        1125R
USC00047821         161S
USC00047836         719Q
USC00047846         679R
USC00047851          83S
USC00047874         723R
USC00047880         143R
USC00047888         223S
USC00047902          27R
USC00047916          52C
USC00047953           5S
USC00047957         125R
USC00047965         264S
USC00048025         717Q
USC00048045           9S
USC00048135         798S
USC00048163          11R
USC00048200        1457Q
USC00048207         145R
USC00048218         133Q
USC00048273          74R
USC00048351         391S
USC00048353         626R
USC00048380          28R
USC00048490         210Q
USC00048560         817S
USC00048587         874R
USC00048606         107S
USC00048655        1267R
USC00048702         317R
USC00048713         618R
USC00048752         978R
USC00048758           1S
USC00048826         196R
USC00048829         214Q
USC00048873         179R
USC00048904         220Q
USC00048917         984S
USC00048928         553R
USC00048999         733Q
USC00049001         701R
USC00049026         662R
USC00049035        1411R
USC00049043          74S
USC00049053         170R
USC00049073         741R
USC00049087         180R
USC00049099        1366R
USC00049102        1510Q
USC00049105           3R
USC00049111         203R
USC00049122         552S
USC00049152          77S
USC00049200         914S
USC00049325        1170R
USC00049351          84Q
USC00049367         818S
USC00049378         119S
USC00049440         510R
USC00049452        1210S
USC00049473          47S
USC00049490         770R
USC00049621         884S
USC00049671         853R
USC00049684         184S
USC00049694         754Q
USC00049699         977R
USC00049742        1042C
USC00049781         888R
USC00049785        1005Q
USC00049792         485R
USC00049822          19R
USC00049847         389Q
USC00049855         385R
USC00049859         352Q
USC00049866         560S
USC00050109         401S
USC00050128           6Q
USC00050185           1R
USC00050214         259S
USC00050263           0S
USC00050301         421R
USC00050306         483Q
USC00050372           1S
USC00050454           4S
USC00050754          15Q
USC00050776          62R
USC00050797          35R
USC00050825           0Q
USC00050834         470R
USC00050848         276S
USC00050945         329S
USC00050950         392S
USC00051017         306R
USC00051018         321Q
USC00051060          25R
USC00051071          32S
USC00051121         439R
USC00051179         424S
USC00051186           0S
USC00051268         600S
USC00051294         333R
USC00051401         135S
USC00051440         381R
USC00051443          98R
USC00051458           4S
USC00051528          97S
USC00051539         528R
USC00051547         345R
USC00051564         552S
USC00051609          51S
USC00051620         364Q
USC00051660           0S
USC00051681           0R
USC00051713           6S
USC00051741         182R
USC00051743         238R
USC00051772         494S
USC00051886         271S
USC00051932         107R
USC00051939           0R
USC00051948           0Q
USC00051959           0S
USC00051964          14S
USC00051977           0Q
USC00051996         595R
USC00052184       -7777S
USC00052192         399R
USC00052196         499R
USC00052223         505R
USC00052281           0S
USC00052286         398S
USC00052342          84Q
USC00052432         284R
USC00052441          57R
USC00052446         523R
USC00052631         104R
USC00052759           9R
USC00052761           3Q
USC00052790          25S
USC00052816           0Q
USC00052932         401R
USC00052947         412R
USC00052965       -7777R
USC00053005         198C
USC00053006         234R
USC00053016           2R
USC00053038         361R
USC00053116           1R
USC00053146         559S
USC00053246         593R
USC00053258         178Q
USC00053261           0R
USC00053307         162R
USC00053359         214R
USC00053387           3Q
USC00053446           0Q
USC00053489         580S
USC00053496           1C
USC00053500           0S
USC00053530           1S
USC00053541           6S
USC00053553         677S
USC00053592           5R
USC00053629          11Q
USC00053662           2R
USC00053867          95C
USC00053951           2R
USC00054054           4R
USC00054076         669S
USC00054082         321S
USC00054135           0R
USC00054172         334R
USC00054242         390R
USC00054250         320R
USC00054254         107Q
USC00054380         397R
USC00054388         683R
USC00054413         440R
